Frame,Prediction,Confidence,FPS
1,non-crocodile,0.8646,2.4
2,non-crocodile,0.8682,4.27
3,non-crocodile,0.882,4.17
4,non-crocodile,0.9048,3.72
5,non-crocodile,0.92,3.36
6,non-crocodile,0.9306,3.66
7,non-crocodile,0.9457,3.53
8,non-crocodile,0.9777,3.48
9,non-crocodile,0.9831,3.62
10,non-crocodile,0.9861,4.26
11,non-crocodile,0.986,4.67
12,non-crocodile,0.9849,4.39
13,non-crocodile,0.9872,4.54
14,non-crocodile,0.9862,4.37
15,non-crocodile,0.9885,4.54
16,non-crocodile,0.9886,4.06
17,non-crocodile,0.9896,4.21
18,non-crocodile,0.9887,3.92
19,non-crocodile,0.9817,4.43
20,non-crocodile,0.9829,4.35
21,non-crocodile,0.9715,4.07
22,non-crocodile,0.9668,4.55
23,non-crocodile,0.9606,4.34
24,non-crocodile,0.9544,4.51
25,non-crocodile,0.9475,4.22
26,non-crocodile,0.9479,3.54
27,non-crocodile,0.9568,4.32
28,non-crocodile,0.9573,4.08
29,non-crocodile,0.9524,3.9
30,non-crocodile,0.9573,3.9
31,non-crocodile,0.955,3.54
32,non-crocodile,0.9593,3.28
33,non-crocodile,0.9603,2.89
34,non-crocodile,0.9627,3.01
35,non-crocodile,0.9608,3.56
36,non-crocodile,0.9621,3.73
37,non-crocodile,0.9607,3.62
38,non-crocodile,0.9606,3.95
39,non-crocodile,0.968,4.13
40,non-crocodile,0.965,3.77
41,non-crocodile,0.9639,3.51
42,non-crocodile,0.9625,3.61
43,non-crocodile,0.9634,3.73
44,non-crocodile,0.9624,3.86
45,non-crocodile,0.9614,3.66
46,non-crocodile,0.9619,3.84
47,non-crocodile,0.9624,3.06
48,non-crocodile,0.9611,3.53
49,non-crocodile,0.9616,4.0
50,non-crocodile,0.9621,3.58
51,crocodile,0.6217,3.59
52,crocodile,0.5795,3.61
53,crocodile,0.5095,3.48
54,non-crocodile,0.5138,2.69
55,non-crocodile,0.5428,2.69
56,non-crocodile,0.5192,3.3
57,crocodile,0.5007,2.98
58,non-crocodile,0.5316,3.42
59,non-crocodile,0.5104,2.98
60,crocodile,0.5052,3.16
61,crocodile,0.5085,3.32
62,crocodile,0.5561,3.13
63,non-crocodile,0.52,2.43
64,non-crocodile,0.5099,3.1
65,non-crocodile,0.5119,3.12
66,crocodile,0.5009,3.34
67,crocodile,0.5798,3.51
68,crocodile,0.6331,3.4
69,crocodile,0.5822,3.0
70,crocodile,0.5546,3.13
71,crocodile,0.5007,2.93
72,non-crocodile,0.594,2.26
73,non-crocodile,0.6705,2.49
74,non-crocodile,0.7059,3.18
75,non-crocodile,0.5458,3.18
76,crocodile,0.7089,3.09
77,crocodile,0.7573,3.03
78,crocodile,0.6536,3.41
79,crocodile,0.9335,3.12
80,crocodile,0.926,2.99
81,crocodile,0.8242,2.6
82,crocodile,0.8575,3.27
83,crocodile,0.8219,3.1
84,crocodile,0.8696,3.1
85,crocodile,0.8642,2.98
86,crocodile,0.8548,3.12
87,crocodile,0.8533,2.93
88,crocodile,0.9503,2.67
89,crocodile,0.9743,2.64
90,crocodile,0.9892,3.04
91,crocodile,0.9952,3.27
92,crocodile,0.9857,3.14
93,crocodile,0.9929,3.11
94,crocodile,0.9977,3.27
95,crocodile,0.9948,2.51
96,crocodile,0.9966,3.31
97,crocodile,0.9987,3.21
98,crocodile,0.9989,3.23
99,crocodile,0.9986,3.32
100,crocodile,0.9984,2.61
101,crocodile,0.9987,2.18
102,crocodile,0.9996,3.57
103,crocodile,0.9992,3.64
104,crocodile,0.9996,3.47
105,crocodile,0.9997,3.7
106,crocodile,0.9992,3.63
107,crocodile,0.9998,3.94
108,crocodile,0.9996,3.74
109,crocodile,0.9999,3.84
110,crocodile,0.9999,3.92
111,crocodile,0.9999,3.89
112,crocodile,1.0,3.77
113,crocodile,1.0,3.57
114,crocodile,1.0,3.52
115,crocodile,1.0,3.63
116,crocodile,1.0,3.29
117,crocodile,1.0,2.92
118,crocodile,1.0,3.09
119,crocodile,1.0,3.11
120,crocodile,1.0,3.12
121,crocodile,1.0,3.13
122,crocodile,1.0,3.24
123,crocodile,1.0,3.16
124,crocodile,1.0,3.11
125,crocodile,1.0,2.57
126,crocodile,1.0,3.28
127,crocodile,1.0,3.14
128,crocodile,1.0,2.65
129,crocodile,1.0,3.05
130,crocodile,1.0,3.3
131,crocodile,1.0,3.26
132,crocodile,1.0,3.06
133,crocodile,1.0,2.64
134,crocodile,1.0,2.83
135,crocodile,1.0,3.23
136,crocodile,1.0,3.22
137,crocodile,1.0,3.35
138,crocodile,1.0,3.25
139,crocodile,1.0,3.16
140,crocodile,1.0,3.1
141,crocodile,1.0,3.23
142,crocodile,1.0,3.2
143,crocodile,1.0,2.63
144,crocodile,1.0,3.19
145,crocodile,1.0,3.34
146,crocodile,1.0,3.42
147,crocodile,1.0,2.8
148,crocodile,1.0,3.15
149,crocodile,1.0,3.14
150,crocodile,1.0,2.88
151,crocodile,1.0,2.68
152,crocodile,1.0,3.08
153,crocodile,1.0,2.33
154,crocodile,1.0,2.76
155,crocodile,1.0,3.15
156,crocodile,1.0,3.25
157,crocodile,1.0,3.32
158,crocodile,1.0,3.18
159,crocodile,1.0,3.23
160,crocodile,1.0,3.26
161,crocodile,1.0,3.1
162,crocodile,1.0,2.94
163,crocodile,1.0,3.08
164,crocodile,1.0,3.33
165,crocodile,1.0,2.55
166,crocodile,1.0,3.14
167,crocodile,1.0,3.21
168,crocodile,1.0,3.23
169,crocodile,1.0,3.36
170,crocodile,1.0,3.29
171,crocodile,1.0,3.39
172,crocodile,1.0,3.15
173,crocodile,1.0,3.15
